Question,Answer
BAGAIMANA MEKANISME REQUEST GANTI EMAIL KARENA EMAIL LAMA TIDAK AKTIF?,"Semangat pagi!

Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.

Terkait kendala yang terjadi, silakan untuk menginformasikan form berikut ini: 
1. Nama Lengkap :
2. Nomor KTP :
3. Email Lama :
4. Email Baru :
5. Melampirkan KTP.

Salam,

Tim Rekrut TELKOM"
BERAPA LAMA JADWAL DURASI ONLINE TEST?,"Semangat pagi!

Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.


Pelaksanaan Online Test sesuai dengan jadwal yang telah kami informasikan via email dan website rekrut Telkom.
Peserta hanya dapat mengakses tes sesuai waktu yang tertera pada jadwal tersebut.
Waktu akses tes mengacu pada Waktu Indonesia Barat.  Bila Saudara berada di luar wilayah WIB agar dapat menyesuaikan.

Salam,
Tim Rekrut TELKOM"
BAGAIMANA APABILA SAYA INGIN RESCHEDULE JADWAL ONLINE TEST?,"Semangat pagi!

Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.
Pelaksanaan Online Test sesuai dengan jadwal yang telah kami informasikan via email dan website rekrut Telkom.
Kami tidak mengakomodir untuk perubahan jadwal dengan alasan apapun.


Terima kasih atas pengertiannya.

Salam,
Tim Rekrut TELKOM
Semangat pagi!

Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.
Pelaksanaan Online Test sesuai dengan jadwal yang telah kami informasikan via email dan website rekrut Telkom.
Kami tidak mengakomodir untuk perubahan jadwal dengan alasan apapun.


Terima kasih atas pengertiannya.

Salam,
Tim Rekrut TELKOM
Semangat pagi!

Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.
Pelaksanaan Online Test sesuai dengan jadwal yang telah kami informasikan via email dan website rekrut Telkom.
Kami tidak mengakomodir untuk perubahan jadwal dengan alasan apapun.


Terima kasih atas pengertiannya.

Salam,
Tim Rekrut TELKOM
Semangat pagi!

Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.
Pelaksanaan Online Test sesuai dengan jadwal yang telah kami informasikan via email dan website rekrut Telkom.
Kami tidak mengakomodir untuk perubahan jadwal dengan alasan apapun.


Terima kasih atas pengertiannya.

Salam,
Tim Rekrut TELKOM"
BAGAIMANA MELAKUKAN ENTRY PERSONAL DATA – PENDIDIKAN YANG TERAKHIR ATAU YANG SAAT APPLY?,"Semangat pagi!

Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.

Terkait dengan personal data pada Pendidikan, silakan untuk mengisi Pendidikan di website rekrut Telkom sesuai saat apply di website FHCI. 
Terima kasih.

Salam,
Tim Rekrut TELKOM"
DIMANA LOKASI PELAKSANAAN TES ASSESSMENT DAYS OFFLINE?,"Semangat pagi!

Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.

Terkait dengan Tahap seleksi selanjutnya yaitu assessment days  akan diinformasikan lebih lanjut untuk detail pelaksanaan melalui email dan website rekrut Telkom apabila peserta dinyatakan ”LULUS”.
Mohon selalu periksa email secara berkala.

Terima kasih.

Salam,
Tim Rekrut TELKOM"
BAGAIMANA CARA MELAKUKAN UPDATE PERSONAL DATA & UBAH DATA DIRI?,"Semangat pagi!

Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.

Terkait dengan Personal data, mohon maaf Saudara tidak diperkenankan untuk melakukan edit/ubah data setelah submit/apply pada website rekrut Telkom.
Terima kasih.

Salam,

Tim Rekrut TELKOM"
BAGAIMANA KETIKA SAYA TIDAK BISA UBAH/EDIT DATA KARENA PERNAH APPLY DI BATCH SEBELUMNYA?,"Semangat pagi!

Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.

Terkait kendala yang terjadi, silakan untuk menginformasikan form berikut ini: 
1. Nama Lengkap :
2. Nomor KTP :
3. Email :
4. Kendala :
Terima kasih.

Salam,
Tim Rekrut TELKOM"
"SAYA TIDAK BISA LOGIN, BAGAIMANA SOLUSINYA?","Semangat pagi!

Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.

Apabila Saudara tidak bisa login, mohon untuk memastikan jaringan stabil dan memastikan username dan password sudah benar (sesuai yang kami informasikan melalui email).
Terima kasih.

Salam,
Tim Rekrut TELKOM"
APAKAH KAMERA MEMPENGARUHI NILAI TES?,"Semangat pagi!
Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.

Pada online test, nilai dipengaruhi oleh hasil test Wawasan Kebangsaan, Tes Bidang, Digital Mindset & Behaviour Test, Persona Inventory Test.
Terimakasih.

Salam,
Tim Rekrut TELKOM"
BAGAIMANA APABILA SEB FAILED?,"Semangat pagi!   
   
Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.   
    
Silakan dipastikan kembali bahwa Saudara telah melakukan download konfigurasi SEBnya.
Terima kasih.

Salam,   
Tim Rekrut TELKOM"
PASSWORD SEB APA?,"Semangat pagi!   
   
Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.   
    
Silakan dapat mengetik ”examstart” untuk memulai exam dan setelah menyelesaikannya  Saudara dapat mengetik ”examquit”.
Terima kasih.

Salam,   
Tim Rekrut TELKOM"
BAGAIMANA APABILA DOKUMEN DI LUAR DOMISILI YANG TERDAFTAR?,"Semangat pagi!
Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.

Untuk kelengkapan berkas menggunakan dokumen ASLI dan jika dokumen asli berada di luar kota, maka dapat dilakukan dengan meminta bantuan kerabat / saudara / teman untuk join pada Link zoom yang akan di informasikan saat jadwal interview.
Terima kasih

Salam,
Tim Rekrut TELKOM"
KAPAN EMAIL PEMBERITAHUAN KELULUSAN ONLINE TEST?,"Semangat pagi!
Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.

Informasi kelulusan tahapan online test TKB RBB 2023 dan jadwal assessment days telah kami sampaikan via email, mohon untuk memeriksa kembali email dan juga website rekrut Telkom.
Terima kasih

Salam,
Tim Rekrut TELKOM"
APAKAH SAYA BISA MENGAJUKAN RESCHEDULE JADWAL ASSESSMENT DAYS?,"Semangat pagi!
Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.

Pelaksanaan Assessment Days TKB RBB 2023 sesuai dengan jadwal yang telah kami informasikan via email dan website rekrut Telkom.
Kami tidak mengakomodir untuk perubahan jadwal dengan alasan apapun.
Terima kasih atas pengertiannya.

Salam,
Tim Rekrut TELKOM"
"BELUM MUNCUL TOMBOL ATAU TIDAK BISA EDIT FULL CV, BAGAIMANA SOLUSINYA?","Semangat pagi!
Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.

Mohon untuk melakukan refresh website rekrut Telkom dan kemudian login kembali.
Terima kasih.

Salam,
Tim Rekrut TELKOM"
BAGAIMANA APABILA DOKUMEN ASLI UNTUK CEK BERKASNYA DALAM BENTUK DIGITAL?,"Semangat pagi!

Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.

Pada sesi cek berkas, kami sarankan untuk menyiapkan dokumen fisik ASLI sesuai pada informasi yang telah kami sampaikan via email dan website rekrut Telkom.
Terima kasih

Salam,
Tim Rekrut TELKOM"
BAGAIMANA APABILA SOAL TEST ESSAI BIDANG TIDAK MUNCUL?,"Semangat pagi!

Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.
 
Mohon untuk refresh website rekrut Telkom dan kemudian login kembali.
Terima kasih.
 
Salam,
Tim Rekrut TELKOM"
MOHON SOLUSINYA EMAIL TRIAL PSIKOTES BELUM SAYA TERIMA,"Semangat pagi! 
 
Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom. 
  
Mohon untuk refresh kembali email Saudara, kemudian login kembali. 
Dapat dicek untuk ;
Nama Pengirim : Admin E- Psikotes 
Subject email : Pemberitahuan Pemeriksaan Psikologi Online
Terima kasih. 
  
Salam, 
Tim Rekrut TELKOM "
BOLEH SAYA MEMINTA KEMBALI FILE SURAT PERNYATAAN,"Semangat pagi! 
 
Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom. 
  
Berikut terlampir file pengisian SURAT PERNYATAAN.
Terima kasih. 
  
Salam, 
Tim Rekrut TELKOM"
BAGAIMANA APABILA SAYA BELUM MENGERJAKAN ESSAY?,"Semangat pagi!  
  
Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.  
   
Silakan untuk dapat mengikuti tahapan Assessment Days sesuai dengan jadwal yang sudah diberikan.
Terima kasih.  
   
Salam,  
Tim Rekrut TELKOM "
MOHON INFONYA PERIHAL JADWAL PSIKOTEST DAN ASSESSMENT DAY,"Semangat pagi!  
  
Terima kasih telah menghubungi helpdesk Rekrutmen Support Telkom.  
   
Silakan Saudara dapat join dari pukul 07.45 WIB (15 menit sebelum dimulainya kegiatan). Detail mekanisme Assessment akan dijelaskan ketika Assessment Days.
Terima kasih.  
   
Salam,  
Tim Rekrut TELKOM "
